User,veAEQ Balance at block 22721125,veAEQ % Owned,,Unlock Date (UTC),Lock last updated,,,
0xb85f4dde17a8a06102dcfdeb68f2b48cf8a09024,292.391751,0.0372,,"Thu, 26 Oct 2023 00:00:00 GMT",Sat Oct 29 2022,,,
0xcd51bb6e21a22a612abf793a59b6cd2e0a8b10d1,280.0777178,0.0357,,"Thu, 14 Sep 2023 00:00:00 GMT",Fri Oct 14 2022,,,
0xaaed7ef3807e3f38756ca52068371071b0f471b1,279.6466775,0.0356,,"Thu, 19 Oct 2023 00:00:00 GMT",Wed Oct 26 2022,,,
0xbd9e601ab0462e8ac4977790e4142fa3275f8e2a,274.9000447,0.035,,"Thu, 17 Aug 2023 00:00:00 GMT",Thu Aug 25 2022,,,
0x453a2a8a74d2fb27049f31d987c28439a227a56b,266.2440244,0.0339,,"Thu, 19 Oct 2023 00:00:00 GMT",Mon Oct 31 2022,,,
0x60c20a6614abb57f7a304c382bbc5a1067a98d61,265.2110768,0.0338,,"Thu, 26 Oct 2023 00:00:00 GMT",Wed Oct 26 2022,,,
0x34237a7d7217fd7953d3809a6d82940088316fe9,259.9838133,0.0331,,"Thu, 12 Oct 2023 00:00:00 GMT",Mon Oct 17 2022,,,
0xaba9346c7c0fc7d7c0bc24b714bd8e4e3ee878f3,252.085005,0.0321,,"Thu, 12 Oct 2023 00:00:00 GMT",Sun Oct 30 2022,,,
0x7a96a49418a101f63731ae1af8e1995be7b13f38,235.6612027,0.03,,"Thu, 12 Oct 2023 00:00:00 GMT",Wed Oct 12 2022,,,
0x3e2722f71684ebd1f585981fc722da6350d349ef,235.4422754,0.03,,"Thu, 21 Sep 2023 00:00:00 GMT",Fri Sep 23 2022,,,
0x1cf04ed2a482b7217251cd11118674665dd61bd2,234.8703325,0.0299,,"Thu, 24 Aug 2023 00:00:00 GMT",Thu Aug 25 2022,,,
0xb010aff3138862850eabecb20de7a4f49406af97,232.1793876,0.0296,,"Thu, 17 Aug 2023 00:00:00 GMT",Wed Oct 26 2022,,,
0x22cd3b52b68ded0686b99acb70bfc22f839417c4,231.9368632,0.0295,,"Thu, 21 Sep 2023 00:00:00 GMT",Fri Sep 23 2022,,,
0x7d6a2f6d7c2f7dd51c47b5ea9faa3ae208185ec7,231.8684967,0.0295,,"Thu, 17 Aug 2023 00:00:00 GMT",Wed Aug 17 2022,,,
0xcea078580e49a9818d18281f7bd80780890bab12,230.1387511,0.0293,,"Thu, 19 Oct 2023 00:00:00 GMT",Wed Oct 19 2022,,,
0x6cdce269a08ae6defb78bb7a42c818118882ab22,222.9770789,0.0284,,"Thu, 31 Aug 2023 00:00:00 GMT",Thu Sep 01 2022,,,
0x6a074a51afb657c02146b0d0b4b22f4e34424849,222.6006018,0.0283,,"Thu, 05 Oct 2023 00:00:00 GMT",Tue Oct 11 2022,,,
0x6d8a9f1cfba155186ef8ca10a2c66879655759cd,220.7414352,0.0281,,"Thu, 05 Oct 2023 00:00:00 GMT",Sat Oct 15 2022,,,
0x74d6400f9480df5e5ffc76283147836bce8d3c95,220.5255288,0.0281,,"Thu, 26 Oct 2023 00:00:00 GMT",Sat Oct 29 2022,,,
0x08535bbdd792254c23d6fbe21c25252461e740b8,218.6880248,0.0278,,"Thu, 31 Aug 2023 00:00:00 GMT",Sat Sep 03 2022,,,
